Date,Price (Open),Price (High),Price (Low),Price (Close),Real Volume,Circulating Marketcap,Realized Marketcap,Adjusted NVT,Average Transaction Fees,Block Size (bytes)
2016-12-15,0.006628837714638399,0.006743647785662358,0.006454267903903282,0.0067103459395046324,239361.0442905253,88944463.6805,288429117.18352336,1435.472787484106,0.000017205905296856308,0
2016-12-14,0.006763582242859008,0.006841367838188677,0.006522644473848337,0.006639322507856879,229651.52575069666,90747280.17190164,288410288.067759,971.761583826531,0.0000250968586986441,0
2016-12-13,0.006665473725640329,0.006851913232224851,0.00647500836172555,0.006793545050288105,265240.1833514332,89387965.38945834,288709980.0437986,1310.265006655354,0.000032440716694678533,0
2016-12-12,0.006786551669191309,0.007084715485299303,0.0066060692080068695,0.006692382238244973,123967.24323085899,90995626.71026881,288610420.334725,1190.87388742993,0.000022579392249447318,0
2016-12-11,0.00673568,0.006843265116203445,0.0066194559492828535,0.0068319541957522064,73738.7423384784,90298053.48165469,288805419.9807588,2284.065194816616,0.000019620741439310472,0
2016-12-10,0.006865291493548575,0.006907136384222461,0.0065907068404883916,0.006710823280358344,150382.4853704435,92101412.6715389,288742160.26542693,2198.38835792706,0.000018585934500770775,0
2016-12-09,0.0069093195592216695,0.007173261784743342,0.006791226492354867,0.0068739258,200478.9199283249,93135100.71433198,288933187.3106799,1222.804838891159,0.000023924255337969952,0
2016-12-08,0.007118444760858471,0.0073401466331696735,0.006689145567901207,0.006853327081775613,661302.960512013,95424475.73301636,288989477.8863616,274.457998017531,0.00003991423930072232,0
2016-12-07,0.006731604785814335,0.007474183317650295,0.006443454857330215,0.007124991186237852,558956.9215933807,90669149.411716,289301343.66667473,1163.97826184791,0.00004781360276951656,0
2016-12-06,0.00634317262663387,0.0068044124233662085,0.006299438780249107,0.0068044124233662085,372743.89814201667,87182169.22806232,288681000.66815525,269.971537234533,0.00004202351094344966,0
2016-12-05,0.006453775892868609,0.00671675175225992,0.006258852959024858,0.006376857609762911,229670.18861694494,86592120.83111274,288306779.179854,335.893391055211,0.000035793570184870125,0
2016-12-04,0.00651828683680549,0.006753293194761272,0.006297982738202918,0.006408940798637786,172385.71988896534,86970686.64243431,289087828.0178304,1338.469260910322,0.00006283576408287608,0
2016-12-03,0.006706260702445467,0.007060570936262951,0.00632072943226656,0.006541193488890015,154951.68625742206,90181108.38577916,289280462.97127414,675.542455614768,0.00003540197066080186,0
2016-12-02,0.006593886438244884,0.007100644136622534,0.006346686891150308,0.006690668407376867,669644.2164885375,88498109.77212603,289428833.94274575,480.266629960372,0.00021851243617408198,0
2016-12-01,0.00669609253900263,0.006765203163062973,0.006564568523227165,0.006580447695829795,205657.2581473785,90018585.98187385,289580022.98737144,811.397395131386,0.00005010375590588809,0
2016-11-30,0.006729985907800209,0.006895351145136256,0.006501635801731463,0.00669680003045987,248300.75380082615,89817908.26124609,289657451.2081072,676.58529808337,0.00005673413028097119,0
2016-11-29,0.006782651511622665,0.0069213653234806135,0.006649396359535913,0.006687774605756694,138562.95712451325,91526160.6483471,289791967.70766234,1889.219184547684,0.00004021534710118171,0
