"Date","Price (Open)","Price (High)","Price (Low)","Price (Close)","Real Volume","Circulating Marketcap"
"2019-10-10","8580.004044420253","8662.90862944303","8436.804228917143","8570.234351567518","1107186567.6087818","154592302785.38348"
"2019-10-09","8175.610205665015","8687.114669306218","8116.251045876402","8578.596189586046","1623460566.0698588","147269409518.27994"
"2019-10-08","8223.164493319759","8340.002431521498","8097.824534833406","8176.242879071466","851566351.9422542","147764426027.70865"
"2019-10-07","7865.666436466518","8312.226381184355","7767.0746732636035","8202.503791618632","1325907485.799718","141504413649.03226"
"2019-10-06","8151.674939021527","8179.2838021469","7787.440825338227","7863.607175388604","976900906.1682022","146630808044.17358"
"2019-10-05","8148.068677661275","8203.970423508681","8023.845144660377","8143.870320719673","556131467.5960562","146706682935.21384"
"2019-10-04","8239.027823344722","8248.57058817469","8008.9277332187285","8146.803319995445","756725257.4305197","148255179979.19537"
"2019-10-03","8380.030059065853","8415.05252249765","8077.859617286086","8241.702543990403","903772460.3988887","150786241996.63565"
"2019-10-02","8327.656662591473","8395.862406354458","8174.331009615204","8378.23992117896","771313750.3371133","149656802823.73907"
"2019-10-01","8306.090533252453","8523.58988588155","8196.046660688084","8318.20150766918","1298191790.0216799","149443718189.40524"
"2019-09-30","8052.647701867014","8356.467601412003","7712.365410052263","8306.647172178144","1697017484.5616508","144942348286.8247"
"2019-09-29","8220.49707126327","8239.332157601444","7900.4707261884","8054.060440370432","927428983.9167459","147752937622.80002"
"2019-09-28","8188.333946620538","8363.061747827536","8014.645605742847","8212.507756099267","1021327721.3343868","147338484594.55548"
"2019-09-27","8058.125510701129","8290.690749611866","7862.202227369981","8195.473571930946","1409854421.0445611","144913099354.89035"
"2019-09-26","8435.863187430645","8470.138766185632","7734.588342709572","8063.927729411242","2395259300.2299147","151770240638.77115"
"2019-09-25","8539.511127331494","8751.34036334627","8226.984897524842","8437.537039377834","2235423353.9391403","153387574284.33127"
