Date,Circulating Marketcap,Realized Marketcap,Adjusted NVT,Hash Rate,Average Difficulty,Miner Revenue,Block Size (bytes)
2019-11-21,18764170451.66382,25327626438.395397,55.43866961,172.54675628578184,2455855793041001,0,175867560
2019-11-20,18930616252.25128,25448355917.224277,75.30018649,163.38885417821024,2356766229068801,0,137377115
2019-11-19,19114212423.354427,25465401218.31015,65.3918617,164.50490373539955,2410310780379587,0,150612696
2019-11-18,19759639892.144463,25499681716.696354,82.29347458,175.44724952266634,2534156551424800.5,0,149422532
2019-11-17,19622369002.823288,25557642451.188168,148.26995706,174.62014341555502,2504386902419668,0,120278032
2019-11-16,19353534139.115646,25543639048.563797,139.93423826,170.82948270254772,2454342093908714,0,117808777
2019-11-15,19846955543.307358,25516765466.12994,74.80703052,173.45283466001302,2503835864737147.5,0,134352305
2019-11-14,20237295525.164413,25622575914.55791,101.18523475,175.74195161442452,2516820631330675.5,0,132028316
2019-11-13,20093267570.910267,25700184054.03894,88.2227062,178.55084957685256,2565168659290071.5,0,137687519
2019-11-12,19852796100.60714,25690970826.4035,69.00699045,175.34006155591896,2513789977340721,0,138847829
2019-11-11,20325209423.11589,25671394415.94469,93.88363811,172.66129378717278,2492579185523263.5,0,140456995
2019-11-10,19852690131.073826,25698033237.399292,143.7081077,175.2737895868846,2523533597875435.5,0,118828691
2019-11-09,19727251232.434677,25666131773.63305,138.12017762,175.4194698538426,2469337794756462.5,0,121628838
2019-11-08,20025830190.986877,25682111524.21537,77.38994746,174.8323845556299,2440985568207530.5,0,133358511
2019-11-07,20539473453.94117,25722955995.726707,98.48425186,176.21561529886964,2468418965327484,0,159689259
2019-11-06,20274752808.30971,25748969469.748116,84.08201211,176.8450850229923,2461887745211243,0,139039542
2019-11-05,20007104243.990852,25726272508.66507,49.01061414,174.54750333982747,2421937723421837,0,143301285
2019-11-04,19515716760.774612,26188805399.10723,61.77268966,172.46696879427716,2404264712194119.5,0,132961572
2019-11-03,19678469751.128933,26158177799.75085,108.87132386,176.12770065236583,2427241437256419.5,0,113040581
2019-11-02,19679625392.320133,26165924523.385056,124.42397698,175.82751628698153,2463467566391617,0,118265582
2019-11-01,19576119969.661655,26155430326.560204,83.00575833,179.15382716745808,2464977450923520,0,141537677
2019-10-31,19689400195.80958,26147849075.486015,66.12418563,177.46571932968726,2466873439152106.5,0,148936024
2019-10-30,20488713090.1752,26168342571.729565,65.9264604,177.03599819884127,2453140081571590.5,0,142216579
2019-10-29,19518380327.085823,26206382609.701447,63.30340324,174.4872025849366,2426720809283932,0,141031984
2019-10-28,19774154415.74845,26145958338.532867,35.50043162,173.88481571675493,2406581452067044.5,0,144412492
2019-10-27,19319849814.356804,26136064504.854633,97.92058657,172.70175663628805,2416397768092149,0,126431668
2019-10-26,19498411701.49357,26083580144.12539,50.66292113,176.68605534329856,2436073791776826.5,0,145165178
2019-10-25,17252945551.77653,26082973766.67619,58.10425975,171.87286430025065,2422857483247918,0,147636972
2019-10-24,17420781372.42547,25912449106.96867,45.39019198,178.22876481069636,2458663391683625.5,0,147612782
2019-10-23,18370643561.488544,25987787904.696007,42.75009007,183.4755460702256,2482165726116589.5,0,156200994
2019-10-22,18700746481.76671,26114193309.641727,86.29277566,177.53867942729462,2392022853360073,0,142600687
2019-10-21,18816254408.122467,26138487439.850864,83.86083532,176.1821350983764,2417520184041405.5,0,131616627
2019-10-20,18457307374.091526,26146707125.646065,98.27762999,182.87696176647415,2480645837646650.5,0,119476321
2019-10-19,18546894012.78328,26124939105.389225,130.01156364,182.6990936248828,2483620623756612,0,128657988
2019-10-18,18998373524.26402,26133739243.2799,72.0280718,176.34098041489347,2407066924696042,0,144325008
2019-10-17,18689525921.94303,26283884834.3121,93.35480491,181.3079908454094,2486530148462039,0,138846768
2019-10-16,19331858734.469303,26272371945.056488,78.86972343,182.80137378686632,2492318145815975.5,0,139141236
2019-10-15,20017413054.581463,26314216821.84682,87.72241303,187.31907570381,2516193344741754,0,138509072
2019-10-14,19394204703.195843,26354054816.026276,53.43715884,178.27747817309353,2411798918623535,0,129608047
2019-10-13,19247599203.30156,26334420716.456783,141.15243238,181.5851280000852,2461158039603226.5,0,111307153
2019-10-12,19363512398.469093,26329277920.24741,92.46812591,176.4240547810929,2408740369930797,0,121004139
2019-10-11,20530903626.774517,26338669058.066895,80.05958758,182.0325848479233,2473558855067817,0,134272930
2019-10-10,20687170751.23675,26455336970.90358,78.04801815,177.63540380921293,2418255518576280.5,0,136162994
2019-10-09,19360676787.38191,26439333115.81071,61.52438256,174.491670754097,2368818383320121.5,0,147363744
2019-10-08,19301921231.096767,26322235781.142227,70.44404287,175.63644354274152,2388887933570949,0,138386988
2019-10-07,18205386354.61469,26310452309.515274,82.15172285,176.75573252345484,2398938913247373.5,0,132096895
2019-10-06,18905727806.92183,26266474594.379387,123.85778398,178.69625037226953,2393554241959084,0,110521078
2019-10-05,18821545168.065044,26318817900.69339,129.38628505,177.99855571587625,2387834041212109,0,114861583
2019-10-04,18721511229.84115,26325526366.947773,102.97578104,177.84794312297475,2385742185927949.5,0,131213863
2019-10-03,19346988943.540607,26375469638.42689,112.4700508,175.8438865810398,2373851248992518,0,131657035
2019-10-02,18833283971.752407,26412441148.60032,92.91183321,176.9464573054447,2412068421318065,0,129881414
2019-10-01,19396613043.733593,26389266851.410828,68.46910846,182.189877855627,2449822927230979,0,135417105
2019-09-30,18120831697.489067,26439445756.84436,44.71098331,181.9040634807857,2461361751335106,0,130389580
2019-09-29,18592915174.190697,26427821230.648445,89.56569607,182.12904268202414,2451547170126619,0,113141096
2019-09-28,18626653607.178925,26479277341.573563,70.80907267,184.52128304323512,2475973481680346.5,0,114752325
2019-09-27,17755645750.495556,26527830618.827675,53.81224597,182.15096344351997,2483531791344508,0,119540377
2019-09-26,18194059585.394398,26488305827.633415,41.46957734,185.58269755430385,2503888016862004,0,125463246
2019-09-25,17827410482.28501,26580442582.696407,40.57396868,182.67844528584837,2472126182883643.5,0,128960780
2019-09-24,21440335436.813896,26587356593.592827,32.81480569,178.41514511006642,2455788512103052.5,0,137623398
2019-09-23,22558716810.209435,26906631928.59587,65.972836,186.00315748531054,2492390378290834,0,119548240
2019-09-22,22994112077.978443,27001491555.11702,107.80296301,181.3082720504473,2450669290339465.5,0,110326050
2019-09-21,23267244470.162132,27020733129.979263,112.22310746,185.52807729890293,2507546516820832,0,111603008
2019-09-20,23599795171.224747,26982515375.714443,61.30706231,181.18155164104277,2425023775685461,0,131630577
2019-09-19,22456979687.860508,26989386150.087643,57.63591635,177.6732129149794,2426112836675440,0,128008067
2019-09-18,22180857750.53627,26880023857.726986,42.79114016,183.64866626124427,2449168786542983.5,0,129563846
2019-09-17,21108779600.855408,26870105770.495934,47.01278603,180.2632847186094,2422785659611005,0,127833834
2019-09-16,20187101330.095886,26751699291.957073,47.40293261,176.31644199637975,2359482253229520.5,0,133591521
2019-09-15,20131047147.864006,26676712766.633846,79.64386606,171.33279122954124,2320624192375028.5,0,116633728
2019-09-14,19343489238.612087,26661094659.674206,95.92673611,172.93558054935787,2319334978956499,0,114596257
2019-09-13,19317882450.1222,26612623110.928783,58.51332249,169.52208273232043,2319702365297208.5,0,113344761
2019-09-12,19027254035.454857,26625974304.82006,73.45545615,173.43217277770944,2328303337077473.5,0,130746356
2019-09-11,19188367195.439316,26644294364.493347,62.54460769,168.5447100864966,2262207308283393.5,0,127457361
2019-09-10,19270471993.63801,26690255987.29793,75.21475442,167.16750521382087,2260805062292881.5,0,126223988
2019-09-09,19350210633.993793,26716075985.08466,58.56140352,167.07217687464907,2243436776431826,0,137641158
2019-09-08,18983849257.090954,26715642065.478638,76.22137033,169.28079116279025,2283717144207403.5,0,122965491
2019-09-07,18031968106.137917,26697629427.070774,61.09979883,169.47477581575333,2277902366398608,0,125439225
2019-09-06,18544324937.703285,26642678339.42405,66.50898596,160.82204436082154,2177120235756430,0,140566093
2019-09-05,18638546078.9539,26705536740.9553,72.47279863,166.96480094651463,2237012425336592,0,140021733
2019-09-04,19042271313.686066,26714116300.646877,67.01965264,164.78246885379,2226922521499271,0,132203228
2019-09-03,19028860028.405163,26756421283.881123,45.92475231,168.47228304959316,2273744050108071.5,0,138461149
2019-09-02,18225102665.11396,26831435048.568302,68.45050241,167.03306137652953,2243349335595336.5,0,141835388
2019-09-01,18291030377.785484,26809004062.54444,86.25492088,165.0965384406521,2227939226761994.8,0,128896706
2019-08-31,17931047814.930878,26823715345.581573,47.15022123,166.55237463422387,2241594134506912.2,0,127679054
2019-08-30,18001820813.003204,26843456485.794617,60.65911327,168.19039423746,2265128328317627.5,0,135122499
2019-08-29,18398908509.08045,26889881258.314133,58.33137601,167.63377241667342,2230133398384293.8,0,138451924
2019-08-28,19928381339.840214,26995433316.01606,62.1373706,161.83040890498359,2181491082374341.5,0,138092706
2019-08-27,20074904032.418182,27120393510.607338,73.94892385,159.98204822554385,2154569583375538.5,0,142091456
2019-08-26,19845940245.576656,27197122262.764557,64.0965416,165.53189553084428,2246441107865079.5,0,154373198
2019-08-25,20301246030.390274,27198983681.349247,95.64732805,164.71479451546784,2165281380344855.8,0,147856021
2019-08-24,20669576309.8508,27256601088.4662,97.9379195,162.96434225246546,2229803360819971.5,0,126249734
2019-08-23,20260335440.839283,27298538042.631664,68.13654211,165.63467415432228,2212620050335200.8,0,136600395
2019-08-22,19908451189.208206,27278619364.848175,65.89833402,161.5114953190012,2180013965025389.8,0,137562907
2019-08-21,20887659398.423332,27251186081.964493,69.42825161,166.42852694597187,2228614257230610,0,136901910
2019-08-20,21531572131.951435,27327017913.34053,53.25571975,167.1192147977165,2245208060847126.5,0,136046388
2019-08-19,20677759946.027767,27354926392.36469,72.1597591,168.312053254052,2281337434824756.5,0,135696874
2019-08-18,19731126028.3684,27328986332.57821,98.82165637,168.95578913597734,2267751063472874.5,0,118874864
2019-08-17,19682556755.07956,27289192709.294838,99.82306088,175.76440003227327,2342394987002109.5,0,121284735
2019-08-16,19970587422.861214,27300907385.633873,58.45079056,170.63589487026016,2286198137986451.5,0,136483241
2019-08-15,19846075295.36769,27463104666.28889,44.0282149,172.04874551214462,2316620795583594.5,0,134589777
2019-08-14,22170093068.533054,27478671425.714394,51.63075883,171.06334145662103,2287502019434941,0,141250916
2019-08-13,22439842977.034714,27698879095.894196,69.81479597,172.7624798531813,2321781475275553.5,0,131963356
2019-08-12,22974710546.18352,27690363019.389687,76.3796544,173.31842911483193,2309762813548383.5,0,130812820
2019-08-11,21886639677.15891,27752297671.21238,101.25364625,170.91582000397162,2298713984021016,0,109155823
2019-08-10,22357673599.913128,27679680633.404675,86.80531876,174.54863637703073,2320542825848179,0,117699628
2019-08-09,23465067480.335033,27729809453.489086,63.45520189,170.13819418622748,2289775425697767.5,0,136058756
2019-08-08,24021640787.999043,27843655090.42817,53.99821161,171.02529827826734,2313651027154678.5,0,135016410
2019-08-07,23981789201.234463,27909680534.74299,68.5049369,172.8627543850209,2304187700751044,0,141243693
2019-08-06,24736935208.16102,27861956154.82796,52.03176983,171.72962191739475,2300601749969503,0,138443733
2019-08-05,23620863335.252827,27900012626.39032,40.42107678,171.36441610548752,2296426777279537,0,137476379
2019-08-04,23557208168.56018,27820272868.597137,121.89947265,169.60831576432466,2275029043688649,0,116065318
2019-08-03,23085433625.286114,27814866234.30416,88.1355285,167.13433988266948,2231040685993667.2,0,144953202
2019-08-02,23053070434.441837,27791126494.701553,59.37698555,164.80715695995073,2186466931668213.5,0,146183092
2019-08-01,23349257343.96776,27794271812.981762,38.51646708,160.56604481263196,2186554067202491.2,0,163011640
2019-07-31,22248476601.634403,27987945419.909176,68.73810505,164.17925543598005,2214317715570966.2,0,130995165
2019-07-30,22320675110.571594,27920619748.85246,67.19503498,169.03935272074088,2245719393390589.8,0,133469657
2019-07-29,22406872963.15103,27926057763.31574,65.50508404,164.53560659047133,2228789317496138,0,128424193
2019-07-28,21936849463.451023,27922506303.0572,123.76492679,166.49369533647112,2227384990591681,0,111552898
2019-07-27,23216779318.728596,27915397740.771893,103.82266302,168.26202766560644,2244229870231116.5,0,115001063
2019-07-26,23204441025.36243,27992377779.844677,44.12566496,162.84476354226229,2181236177710661.2,0,125433156
2019-07-25,22927388660.26166,28028600893.991833,71.78976871,162.5276633839506,2208939372142515.8,0,176997571
2019-07-24,22442461939.789528,28017644170.91361,75.16822139,164.83234776510352,2213005545480356.8,0,168686288
2019-07-23,22987357788.716736,28011486200.5635,72.47629971,164.76405546768365,2197931128443134,0,124203145
2019-07-22,23881049208.166035,28048281792.7702,66.41364767,162.25887059805845,2163176168533299,0,123260867
2019-07-21,24205607632.86668,28163986440.649574,108.96442299,163.07321543983304,2200418574784435.5,0,104190132
2019-07-20,23425152087.300987,28160608999.55335,83.65206319,167.1237312025177,2219972650889721.8,0,115486905
2019-07-19,23920619509.32492,28114263653.453304,58.93859938,162.10610073970332,2200520894451018.8,0,152957218
2019-07-18,22341641614.938843,28169707388.924347,49.03503316,168.2793380989905,2244270110286997.8,0,164733659
2019-07-17,20957268657.474224,28118304093.654587,39.46732007,165.87332595996602,2246231621154099.2,0,162801000
2019-07-16,24186678430.423122,28184009088.270782,42.95510457,160.86743376659263,2199582669646307,0,190454660
2019-07-15,23918187381.71013,28556966903.03473,37.08051664,167.44632002814143,2279064491352294.5,0,232451411
2019-07-14,28459555203.48095,28705664173.784615,51.23367701,170.69340699100943,2259986987901507.5,0,125275136
2019-07-13,29129183154.156384,28977760164.639637,113.00094274,166.77088577175707,2237792214952580.2,0,114383617
2019-07-12,28416656898.0236,29014092078.67207,61.57003156,166.4999562137437,2269238358740825.5,0,141807409
2019-07-11,30509483890.038055,28962038211.987816,32.8712739,166.6358668388077,2236779006340722.5,0,180206422
2019-07-10,32502749278.937527,28872547370.789753,46.23649026,162.83479044415483,2197976940014358.8,0,143419527
2019-07-09,33122650404.42131,29023363889.17067,26.18389171,163.114360617135,2183765554207610,0,151390160
2019-07-08,32414727372.88148,29269049311.88151,66.41762967,158.650774594595,2135383065219610,0,198882296
2019-07-07,30417713223.643627,29087884851.142094,87.98307048,161.327529962605,2150253771521330,0,166223310
2019-07-06,30474797213.569145,28975677142.84961,100.62441127,162.142175615644,2160728344597230,0,172203317
2019-07-05,29905791574.86035,28979107458.258255,71.14830134,157.772852334922,2136290926253350,0,159057333
2019-07-04,31963246866.539604,28921684049.12926,64.9701284,157.161883964355,2117860588916850,0,145392515
2019-07-03,30884825280.22064,29225492624.45358,56.0650053,158.270321139686,2137119494250930,0,147608341
2019-07-02,31076179367.146866,29103228268.20866,48.57886418,162.861678509714,2195022550866410,0,167342110
2019-07-01,30600785130.21892,29121786321.12396,47.18947586,161.21406525152,2164523743806050,0,177831583
2019-06-30,33669891006.734886,29166808091.981136,62.63503396,162.672572488896,2187357440472100,0,132657764
2019-06-29,32622474291.205555,29314226366.80081,45.91944103,163.092462248708,2189982863727680,0,136216769
2019-06-28,31066933693.855373,29204203936.740772,40.57070027,157.521350235405,2128016376600570,0,183026570
2019-06-27,35279545766.57262,28954395975.900208,32.1168801,160.236239786281,2167919782330100,0,161975565
2019-06-26,33424092143.561512,29330918464.3615,30.73183851,162.116659931632,2180014543389050,0,174868238
2019-06-25,32859753714.467587,29008906094.640488,40.18231222,155.520275310546,2092172773917610,0,173141681
2019-06-24,32453469005.236538,28825874386.839012,46.14561948,154.589745859032,2075130108361020,0,156135242
2019-06-23,32749094807.892868,28771093266.80162,57.21349954,150.273551506771,2028399396444100,0,142999131
2019-06-22,31213520560.245987,28756585678.279972,41.27537228,149.130383228466,1995242562227690,0,141618823
2019-06-21,28733062827.059612,28523725280.956944,38.42281803,148.187514486451,2021983642222730,0,145477903
2019-06-20,28409842771.432377,28257617640.2405,47.95305813,150.309313399277,2030280255238240,0,180090879
2019-06-19,28083490891.534393,28158085906.989998,39.24110662,151.988468454784,2052794846143670,0,171356134
2019-06-18,29758911117.35451,28037495120.80888,41.77905739,149.558677886143,2029070662056130,0,155897781
2019-06-17,28331858956.594387,28108973430.12675,49.18803265,149.510083331942,2024351059329540,0,170489790
2019-06-16,28343248776.001583,28024730937.84074,51.91170457,149.454807814735,2005504686060970,0,151307083
2019-06-15,27794615170.446026,28004858520.698303,46.59741188,148.203565424597,2010442932195360,0,166964388
2019-06-14,26890824710.553837,27964948381.283054,41.76020465,148.74702118563,2004823909663890,0,151880660
2019-06-13,27690189015.398647,27851017385.573345,41.43689908,148.524523625244,1999363245166580,0,142249515
2019-06-12,25861603610.609283,27828926417.28751,47.42295264,149.733175597032,2029658930240120,0,157036470
2019-06-11,26126199330.105812,27693929161.036053,51.23069484,150.643081945367,2036309787085000,0,173130949
2019-06-10,24389201986.37376,27703060558.232944,44.08589776,151.589059137243,2030954751041050,0,178634616
2019-06-09,25727038380.430275,27472173829.90393,63.82903643,149.2711756492,2025066175443860,0,129833418
2019-06-08,26253295517.388023,27684209707.50345,88.33946642,151.482557850645,2064762730602490,0,178986485
2019-06-07,26238836263.415676,27758850309.540165,55.86417071,155.638557707107,2119226023306320,0,143985418
2019-06-06,25889875427.14265,27723398659.175606,57.51055099,156.860354589559,2100678926321670,0,150894234
2019-06-05,25374948238.529316,27626016219.512066,32.52417951,149.871217826598,2023577723516750,0,149776750
2019-06-04,26235553204.688915,27584084807.701374,34.61480985,153.490121628205,2071996727823250,0,161931707
2019-06-03,28323903143.101124,27713758965.36244,40.05434284,151.041927679644,2063522820539640,0,160167084
2019-06-02,27818323355.123543,27747952284.35335,71.72931928,159.042439370906,2151618780400760,0,155309478
2019-06-01,28190735025.374985,27707660522.910686,60.39179682,155.667930399539,2112901729930460,0,160340865
2019-05-31,26778078477.472828,27687848061.80043,33.00813508,157.471210812149,2100799711563720,0,151516403
2019-05-30,28345719504.07713,27400387951.32103,31.71178725,156.410147858332,2144631397213680,0,162003870
2019-05-29,28524490615.341545,27495054468.685757,29.43754264,160.276055143033,2118881332521380,0,170398340
2019-05-28,28556401528.13268,27390780542.468636,41.74140683,149.651432266984,2038620204892300,0,162685716
2019-05-27,28142889937.235203,27381974174.701084,35.24946621,154.268671994233,2084581978435200,0,170988705
2019-05-26,26412847333.95179,27307233670.268864,49.27569548,149.902535033579,2014949432324700,0,140354782
2019-05-25,26248103983.399826,27174322547.10099,61.65417724,152.330399192829,2016154115661600,0,150455711
2019-05-24,25813748889.87855,27142521858.12845,45.5524316,148.511451263677,2007007594146850,0,163896028
2019-05-23,25578756574.60521,27107262100.830086,38.04891805,150.255100959905,2051024868175660,0,160936807
2019-05-22,26746086930.977116,27086281504.01088,39.85255448,152.937960345501,2063611016186880,0,164082223
2019-05-21,26481536887.455997,27193446619.885548,37.90194335,151.137456258065,2059313418670570,0,151817233
2019-05-20,27382468775.888023,27108348710.156563,36.42517362,153.899019878769,2094413410101890,0,158412428
2019-05-19,24578089860.311733,27190097599.41245,49.14022377,156.349437723927,2115431155046200,0,139849991
2019-05-18,25802756907.090813,26962751745.252163,49.77636989,160.249891007412,2162660027288760,0,147449722
2019-05-17,27760020864.351574,27053699857.428036,24.94481085,157.69490404696,2115801198613270,0,165415716
2019-05-16,26076224623.383724,27144275631.019093,15.29266708,148.916086181794,2028509045897910,0,168374685
2019-05-15,22784238137.22308,26608248010.01648,25.97783579,151.921303353101,2027558764305660,0,164259840
2019-05-14,20544215636.47659,26316216153.809433,31.78230241,150.212792057788,2005848139794080,0,156646412
2019-05-13,19742983874.967827,26060179871.997032,29.06060917,144.581206677593,1964089878729970,0,146298359
2019-05-12,20304508982.826344,25884548057.82336,41.78618509,146.931587422303,1970525984858610,0,138695078
2019-05-11,18079677536.196617,25982285025.78041,26.61950284,144.372559651563,1949808422115180,0,144963550
2019-05-10,18074483453.949337,25782607813.264946,39.97958019,143.53122276812,1925409597999880,0,147417725
2019-05-09,17987668989.993595,25770935378.651283,41.92084816,142.397432377588,1933476499312660,0,145445466
2019-05-08,18200643304.57823,25759919091.95519,37.14951481,141.771591655593,1933128943772970,0,155602776
2019-05-07,18236705136.894653,25759416351.40927,34.17616029,143.974025254782,1945360636829350,0,179120205
2019-05-06,17403478727.14227,25756711159.69093,38.71792715,141.165458195033,1917967433268260,0,157893152
2019-05-05,17252273517.030495,25671230763.191174,61.15095234,144.83039135836,1958102354582690,0,122008078
2019-05-04,17641268562.28959,25676936354.80642,59.6825556,147.084996276776,1945626543642790,0,120562966
2019-05-03,17012875548.078861,25695768991.506954,45.05749625,139.2488162461,1896924686550000,0,139282875
2019-05-02,16896118558.184576,25650964036.113136,55.37153865,142.286429090152,1908352390903740,0,154967908
2019-05-01,17066576491.942953,25662001398.857174,44.17001791,143.653874849061,1919592681615480,0,130501114
2019-04-30,16339055258.991789,25674606611.022137,38.03361577,143.133415898716,1928695429611980,0,133949283
2019-04-29,16381509840.092718,25600691146.96212,37.19731459,142.321703343671,1905690034587350,0,123969686
2019-04-28,16688757223.48247,25609072239.536205,48.97581413,139.386152643941,1885095160514720,0,114730316
2019-04-27,16336269821.173758,25651244581.460033,59.06275125,141.955500472905,1894070039823350,0,106316589
2019-04-26,15973817293.25833,25629199358.011597,24.56835042,138.065187452246,1848836660056810,0,129213108
2019-04-25,17367055212.393112,25656873099.821854,35.71989892,138.492361933253,1850592136533610,0,130174525
2019-04-24,17826757171.668335,25797311830.699715,32.46108517,137.128914601247,1853654210814630,0,127896978
2019-04-23,17939147763.002434,25867244826.155354,40.65753314,138.210702704659,1895956635640700,0,138322884
2019-04-22,17809310248.588997,25889559658.80077,47.19271145,141.777574958503,1905395324442300,0,135797447
2019-04-21,18184663631.49286,25953145529.69773,56.44336722,140.471855072897,1876835302455940,0,134861180
